location,1999_opioid_deaths,1999_drug_deaths,1999_change_opioid,1999_change_drug,2000_opioid_deaths,2000_drug_deaths,2000_change_opioid,2000_change_drug,2001_opioid_deaths,2001_drug_deaths,2001_change_opioid,2001_change_drug,2002_opioid_deaths,2002_drug_deaths,2002_change_opioid,2002_change_drug,2003_opioid_deaths,2003_drug_deaths,2003_change_opioid,2003_change_drug,2004_opioid_deaths,2004_drug_deaths,2004_change_opioid,2004_change_drug,2005_opioid_deaths,2005_drug_deaths,2005_change_opioid,2005_change_drug,2006_opioid_deaths,2006_drug_deaths,2006_change_opioid,2006_change_drug,2007_opioid_deaths,2007_drug_deaths,2007_change_opioid,2007_change_drug,2008_opioid_deaths,2008_drug_deaths,2008_change_opioid,2008_change_drug,2009_opioid_deaths,2009_drug_deaths,2009_change_opioid,2009_change_drug,2010_opioid_deaths,2010_drug_deaths,2010_change_opioid,2010_change_drug,2011_opioid_deaths,2011_drug_deaths,2011_change_opioid,2011_change_drug,2012_opioid_deaths,2012_drug_deaths,2012_change_opioid,2012_change_drug,2013_opioid_deaths,2013_drug_deaths,2013_change_opioid,2013_change_drug,2014_opioid_deaths,2014_drug_deaths,2014_change_opioid,2014_change_drug,2015_opioid_deaths,2015_drug_deaths,2015_change_opioid,2015_change_drug,2016_opioid_deaths,2016_drug_deaths,2016_change_opioid,2016_change_drug,2017_opioid_deaths,2017_drug_deaths,2017_change_opioid,2017_change_drug
New Hampshire,3.2,4.3,NSD,NSD,2.2,3.4,-0.31,-0.21,4.1,6.1,0.86,0.79,6.3,8.7,0.54,0.43,7,9.5,0.11,0.09,6.9,9.6,-0.01,0.01,8.2,10.7,0.19,0.11,7.9,11.2,-0.04,0.05,10.9,13.8,0.38,0.23,7.0,9.4,-0.36,-0.32,9.5,12.5,0.36,0.33,8.9,11.8,-0.06,-0.06,11.5,15.3,0.29,0.3,10.5,13.4,-0.087,-0.124,11.8,15.1,0.12,0.13,23.4,26.2,0.98,0.74,31.3,34.3,0.33799999999999997,0.309,35.8,39.0,0.14,0.14,34.0,37.0,-0.05,-0.05
New Jersey,3.8,6.5,NSD,NSD,4.1,7.5,0.08,0.15,4.6,8.1,0.12,0.08,5.6,9.3,0.22,0.15,5.1,8.3,-0.09,-0.11,3.6,6.8,-0.29,-0.18,5,9.4,0.39,0.38,4.3,9.7,-0.14,0.03,3.9,8.4,-0.09,-0.13,3.8,8.0,-0.03,-0.05,0.7,3.0,-0.82,-0.63,4.2,9.8,5,2.27,5.1,11.3,0.21,0.15,6.8,13.7,0.333,0.212,7.6,14.5,0.12,0.06,8.2,14.0,0.08,-0.03,9.8,16.3,0.195,0.16399999999999998,16.0,23.2,0.63,0.42,22.0,30.0,0.38,0.29
New Mexico,10.2,15,NSD,NSD,10,15.1,-0.02,0.01,8.4,14.4,-0.16,-0.05,11.1,16.1,0.32,0.12,12,19.7,0.08,0.22,10,16.9,-0.17,-0.14,11.4,20.1,0.14,0.19,12.5,21.8,0.1,0.08,13.5,23.4,0.08,0.07,16.6,26.7,0.23,0.14,10.2,22.0,-0.39,-0.18,9.5,23.8,-0.07,0.08,11.9,26.3,0.25,0.11,16.1,24.7,0.353,-0.061,16,22.6,-0.01,-0.09,20.2,27.3,0.26,0.21,17.9,25.3,-0.114,-0.073,17.5,25.2,-0.02,0.0,16.7,24.8,-0.05,-0.02
New York,3.2,5,NSD,NSD,2.6,4,-0.19,-0.2,3.2,5.6,0.23,0.4,2.9,4.8,-0.09,-0.14,3,5.0,0.03,0.04,2.4,4.3,-0.2,-0.14,2.9,4.8,0.21,0.12,5.2,8.6,0.79,0.79,5.2,8.6,0,0,5.6,8.5,0.08,-0.01,5.4,8.0,-0.04,-0.06,5.4,7.8,0,-0.03,6.8,9.7,0.26,0.24,7.6,10.4,0.118,0.072,8.3,11.3,0.09,0.09,8.6,11.3,0.04,0.0,10.8,13.6,0.256,0.204,15.1,18.0,0.4,0.32,16.1,19.4,0.07,0.08
North Carolina,2,4.6,NSD,NSD,3.5,6,0.75,0.3,4.1,6.6,0.17,0.1,4.9,7.7,0.2,0.17,5.8,9.0,0.18,0.17,6.6,9.9,0.14,0.1,7.5,11.4,0.14,0.15,7.8,11.8,0.04,0.04,8.2,11.9,0.05,0.01,9.1,12.8,0.11,0.08,9.1,12.6,0,-0.02,8.1,11.4,-0.11,-0.1,8.6,13,0.06,0.14,8.6,13.3,0,0.023,8.7,12.9,0.01,-0.03,10.0,13.8,0.15,0.07,11.9,15.8,0.19,0.145,15.4,19.7,0.29,0.25,19.8,24.1,0.29,0.22
North Dakota,NSD,NR,NSD,NSD,NSD,NR,NSD,NSD,NSD,NR,NSD,NSD,NR,NR,NSD,NSD,NSD,3.5,NSD,NSD,NR,NR,NSD,NSD,NSD,NR,NSD,NSD,NSD,NR,NSD,NSD,NR,4.8,NSD,NSD,5.1,7.4,NSD,0.54,NSD,4.4,NSD,-0.41,NSD,3.4,NSD,-0.23,NSD,NSD,NSD,NSD,NSD,3.1,NSD,NSD,NSD,2.8,NSD,-0.1,4.5,6.3,NSD,1.25,4.8,8.6,0.067,0.365,7.6,10.6,0.58,0.23,4.8,9.2,-0.37,-0.13
Ohio,1.5,4.2,NSD,NSD,2.2,5,0.47,0.19,3,6.5,0.36,0.3,3.7,8.2,0.23,0.26,3.2,6.8,-0.14,-0.17,4.5,9.9,0.41,0.46,4.9,10.9,0.09,0.1,5.6,13.2,0.14,0.21,6.2,13.9,0.11,0.05,7.2,15.1,0.16,0.09,5.9,10.9,-0.18,-0.28,10,16.1,0.69,0.48,11.2,17.7,0.12,0.1,12.3,18.9,0.098,0.068,14.6,20.8,0.19,0.1,19.1,24.6,0.31,0.18,24.7,29.9,0.293,0.215,32.9,39.1,0.33,0.31,39.2,46.3,0.19,0.18
Oklahoma,2.7,5.4,NSD,NSD,3.8,7.1,0.41,0.31,4.6,8,0.21,0.13,4.3,7.1,-0.07,-0.11,7.5,11.8,0.74,0.66,8.9,13.9,0.19,0.18,9,13.8,0.01,-0.01,11.1,16.2,0.23,0.17,13.9,18.8,0.25,0.16,11.4,15.6,-0.18,-0.17,15.5,20.6,0.36,0.32,13.9,19.4,-0.1,-0.06,13,18.9,-0.06,-0.03,14.2,20.6,0.092,0.09,13.4,20.6,-0.06,0.0,13.0,20.3,-0.03,-0.01,11.2,19.0,-0.138,-0.064,11.6,21.5,0.04,0.13,10.2,20.1,-0.12,-0.07
Oregon,3.5,6.1,NSD,NSD,3.1,6,-0.11,-0.02,4.2,6.9,0.35,0.15,5.4,8.9,0.29,0.29,5.7,9.8,0.06,0.1,6.2,10,0.09,0.02,7.2,10.4,0.16,0.04,9.6,12.9,0.33,0.24,9.4,13.2,-0.02,0.02,9.0,11.8,-0.04,-0.11,9.5,12.9,0.06,0.09,8.5,12.9,-0.11,0.0,10.1,13.5,0.19,0.05,9.2,12.5,-0.089,-0.074,7.5,11.3,-0.18,-0.1,8.3,12.8,0.11,0.13,7.9,12.0,-0.048,-0.063,7.6,11.9,-0.04,-0.01,8.1,12.4,0.07,0.04
Pennsylvania,2.7,8.1,NSD,NSD,2.7,9.5,0,0.17,2.1,7.9,-0.22,-0.17,2.9,9.1,0.38,0.15,3.9,11.4,0.34,0.25,3.9,12.7,0,0.11,4.2,13.2,0.08,0.04,3.5,13.5,-0.17,0.02,4,13.9,0.14,0.03,4.9,14.9,0.23,0.07,5.2,15.2,0.06,0.02,5.1,15.3,-0.02,0.01,6.2,18.3,0.22,0.2,6.8,19.0,0.097,0.038,7.8,19.4,0.15,0.02,9.0,21.9,0.15,0.13,11.2,26.3,0.244,0.201,18.5,37.9,0.65,0.44,21.2,44.3,0.15,0.17
Rhode Island,3.4,5.5,NSD,NSD,5.4,7,0.59,0.27,7.4,10.2,0.37,0.46,6.8,9.3,-0.08,-0.09,9.3,13.7,0.37,0.47,7,9.8,-0.25,-0.28,10.3,14.3,0.47,0.46,12.2,16.4,0.18,0.15,8,12.4,-0.34,-0.24,12.5,17.3,0.56,0.4,10.6,14.8,-0.15,-0.14,10.5,15.5,-0.01,0.05,13.3,17.7,0.27,0.14,13.2,18.2,-0.008,0.028,18.1,22.4,0.37,0.23,19.8,23.4,0.09,0.04,23.5,28.2,0.187,0.205,26.7,30.8,0.14,0.09,26.9,31.0,0.01,0.01
South Carolina,1.2,3.7,NSD,NSD,2.2,6.5,0.83,0.76,2,5.9,-0.09,-0.09,2,5.3,0,-0.1,2.2,7.0,0.1,0.32,3.1,8.4,0.41,0.2,3.5,9.9,0.13,0.18,4.9,12.7,0.4,0.28,4.5,12.1,-0.08,-0.05,4.8,12.5,0.07,0.03,5.2,13.3,0.08,0.06,5.9,14.6,0.13,0.1,5.3,13.3,-0.1,-0.09,5.1,12.5,-0.038,-0.06,5.4,13.0,0.06,0.04,10.7,14.4,0.98,0.11,11.4,15.7,0.065,0.09,13.1,18.1,0.15,0.15,15.5,20.5,0.18,0.13
South Dakota,NSD,NR,NSD,NSD,NSD,2.8,NSD,NSD,NSD,3.2,NSD,0.14,NR,3.1,NSD,-0.03,NSD,3.3,NSD,0.06,2.7,5.8,NSD,0.76,3.1,5.5,0.15,-0.05,3.3,5.1,0.06,-0.07,2.5,4.1,-0.24,-0.2,4.2,7.3,0.68,0.78,4.6,6.7,0.1,-0.08,4.5,6.3,-0.02,-0.06,4.5,7.1,0,0.13,3.1,5.5,-0.311,-0.225,4.4,6.9,0.42,0.25,4.1,7.8,-0.07,0.13,3.5,8.4,-0.146,0.077,5.0,8.4,0.43,0.0,4.0,8.5,-0.2,0.01
Tennessee,1.6,6.1,NSD,NSD,1.8,6.9,0.13,0.13,2.4,7.3,0.33,0.06,2.9,8.5,0.21,0.16,5,11.3,0.72,0.33,6.4,12.8,0.28,0.13,7.5,14.5,0.17,0.13,7.7,16,0.03,0.1,7.8,15.8,0.01,-0.01,7.7,14.8,-0.01,-0.06,8.5,15.2,0.1,0.03,10,16.9,0.18,0.11,10.1,17.2,0.01,0.02,11.4,17.6,0.129,0.023,11.9,18.1,0.04,0.03,13.4,19.5,0.13,0.08,16.0,22.2,0.19399999999999998,0.138,18.1,24.5,0.13,0.1,19.3,26.6,0.07,0.09
Texas,1.7,5.4,NSD,NSD,1.8,5,0.06,-0.07,2.6,6.6,0.44,0.32,3.4,7.5,0.31,0.14,3.6,8.1,0.06,0.08,3.7,8.2,0.03,0.01,3.9,8.5,0.05,0.04,4.6,9.5,0.18,0.12,4.3,9.3,-0.07,-0.02,3.9,8.5,-0.09,-0.09,4.6,9.8,0.18,0.15,4.4,9.6,-0.04,-0.02,4.6,10.1,0.05,0.05,4.4,9.4,-0.043,-0.069,4,9.3,-0.09,-0.01,4.3,9.7,0.08,0.04,4.7,9.4,0.09300000000000001,-0.031,4.9,10.1,0.04,0.07,5.1,10.5,0.04,0.04
Utah,7.3,10.6,NSD,NSD,7.6,10.4,0.04,-0.02,7.8,10.4,0.03,0,9.7,14,0.24,0.35,11.8,16.1,0.22,0.15,11.8,16.3,0,0.01,14.2,19.3,0.2,0.18,13.9,19.1,-0.02,-0.01,14.7,21.3,0.06,0.12,14.0,19.0,-0.05,-0.11,14.7,19.1,0.05,0.01,12.8,16.9,-0.13,-0.12,14.6,19.5,0.14,0.15,16.1,23.1,0.103,0.185,15.9,22.1,-0.01,-0.04,16.8,22.4,0.06,0.01,15.9,23.4,-0.054000000000000006,0.045,16.4,22.4,0.03,-0.04,15.5,22.3,-0.05,0.0
Vermont,NR,4.7,NSD,NSD,3.6,5.8,NSD,0.23,5,7.1,0.39,0.22,5.8,7.5,0.16,0.06,7.2,10.2,0.24,0.36,6.1,8,-0.15,-0.22,6.1,8.5,0,0.06,9.4,12.2,0.54,0.44,8.8,10.8,-0.06,-0.11,8.6,10.9,-0.02,0.01,6,8.3,-0.3,-0.24,6.8,9.7,0.13,0.17,9.1,12.9,0.34,0.33,8.6,10.9,-0.055,-0.155,11.6,15.1,0.35,0.39,11.0,13.9,-0.05,-0.08,13.4,16.7,0.218,0.201,18.4,22.2,0.37,0.33,20.0,23.2,0.09,0.05
Virginia,2.7,5,NSD,NSD,3.4,5.6,0.26,0.12,4.2,6.2,0.24,0.11,4.7,6.8,0.12,0.1,4.8,7.2,0.02,0.06,5.1,7.3,0.06,0.01,4.7,7.5,-0.08,0.03,5.3,8,0.13,0.07,6.4,8.9,0.21,0.11,6.2,9.0,-0.03,0.01,5.9,8.5,-0.05,-0.06,4.8,6.8,-0.19,-0.2,7.1,9.7,0.48,0.43,6.5,8.9,-0.085,-0.082,7.6,10.2,0.17,0.15,9.1,11.7,0.2,0.15,9.9,12.4,0.08800000000000001,0.06,13.5,16.7,0.36,0.35,14.8,17.9,0.1,0.07
Washington,5.9,9.3,NSD,NSD,5.8,9.2,-0.02,-0.01,5.3,8.1,-0.09,-0.12,7.4,10.4,0.4,0.28,7.5,11.1,0.01,0.07,9,12.7,0.2,0.14,9.2,13,0.02,0.02,10,13.6,0.09,0.05,9.7,14.4,-0.03,0.06,10.1,14.8,0.04,0.03,10.2,14.3,0.01,-0.03,8.9,13.1,-0.13,-0.08,9.9,14.1,0.11,0.08,9.7,13.7,-0.02,-0.028,8.9,13.4,-0.08,-0.02,9.2,13.3,0.03,-0.01,9.3,14.7,0.011000000000000001,0.105,9.4,14.5,0.01,-0.01,9.6,15.2,0.02,0.05
West Virginia,1.8,4.1,NSD,NSD,2.8,6.2,0.56,0.51,7.9,11.5,1.82,0.85,10.1,12.9,0.28,0.12,11.2,15.1,0.11,0.17,14.2,18.8,0.27,0.25,8.2,10.5,-0.42,-0.44,16.1,20.4,0.96,0.94,19,22.4,0.18,0.1,21.0,25.7,0.11,0.15,10.3,12.4,-0.51,-0.52,25.6,28.9,1.49,1.33,31.5,36.3,0.23,0.26,27.1,32.0,-0.14,-0.118,27.9,32.2,0.03,0.01,31.6,35.5,0.13,0.1,36.0,41.5,0.139,0.16899999999999998,43.4,52.0,0.21,0.25,49.6,57.8,0.14,0.11
Wisconsin,1.6,4,NSD,NSD,2.1,4.6,0.31,0.15,2.6,5,0.24,0.09,3.2,6.2,0.23,0.24,3.7,7.0,0.16,0.13,4,7.9,0.08,0.13,4.9,9.3,0.23,0.18,6,10.6,0.22,0.14,6.7,11.1,0.12,0.05,6.6,10.6,-0.01,-0.05,6.9,10.9,0.05,0.03,7.3,10.9,0.06,0.0,8.3,12.1,0.14,0.11,8.6,12.2,0.036,0.008,10.6,15.0,0.23,0.23,11.1,15.1,0.05,0.01,11.2,15.5,0.009000000000000001,0.026000000000000002,15.8,19.3,0.41,0.25,16.9,21.2,0.07,0.1
Wyoming,NSD,4.1,NSD,NSD,NR,4.6,NSD,0.12,NSD,4.5,NSD,-0.02,NR,6.9,NSD,0.53,NSD,5.9,NSD,-0.14,NR,9.1,NSD,0.54,NR,4.9,NSD,-0.46,NR,10.6,NSD,1.16,4.6,12.3,NSD,0.16,7.6,14.0,0.65,0.14,5.7,11.0,-0.25,-0.21,8.5,15.0,0.49,0.36,7.5,15.2,-0.12,0.01,7.7,16.8,0.027,0.105,8.6,17.2,0.12,0.02,9.3,19.4,0.08,0.13,7.9,16.4,-0.151,-0.155,8.7,17.6,0.1,0.07,8.7,12.2,0.0,-0.31
