location,1999_opioid_deaths,1999_drug_deaths,1999_change_opioid,1999_change_drug,2000_opioid_deaths,2000_drug_deaths,2000_change_opioid,2000_change_drug,2001_opioid_deaths,2001_drug_deaths,2001_change_opioid,2001_change_drug,2002_opioid_deaths,2002_drug_deaths,2002_change_opioid,2002_change_drug,2003_opioid_deaths,2003_drug_deaths,2003_change_opioid,2003_change_drug,2004_opioid_deaths,2004_drug_deaths,2004_change_opioid,2004_change_drug,2005_opioid_deaths,2005_drug_deaths,2005_change_opioid,2005_change_drug,2006_opioid_deaths,2006_drug_deaths,2006_change_opioid,2006_change_drug,2007_opioid_deaths,2007_drug_deaths,2007_change_opioid,2007_change_drug,2008_opioid_deaths,2008_drug_deaths,2008_change_opioid,2008_change_drug,2009_opioid_deaths,2009_drug_deaths,2009_change_opioid,2009_change_drug,2010_opioid_deaths,2010_drug_deaths,2010_change_opioid,2010_change_drug,2011_opioid_deaths,2011_drug_deaths,2011_change_opioid,2011_change_drug,2012_opioid_deaths,2012_drug_deaths,2012_change_opioid,2012_change_drug,2013_opioid_deaths,2013_drug_deaths,2013_change_opioid,2013_change_drug,2014_opioid_deaths,2014_drug_deaths,2014_change_opioid,2014_change_drug,2015_opioid_deaths,2015_drug_deaths,2015_change_opioid,2015_change_drug,2016_opioid_deaths,2016_drug_deaths,2016_change_opioid,2016_change_drug,2017_opioid_deaths,2017_drug_deaths,2017_change_opioid,2017_change_drug
Florida,2.6,6.4,NSD,NSD,3.6,7.4,0.38,0.16,5.4,10.9,0.5,0.47,5.9,11.8,0.09,0.08,6.3,12.4,0.07,0.05,7.1,13.2,0.13,0.06,6.3,13.5,-0.11,0.02,6.9,14.4,0.1,0.07,8.2,15.4,0.19,0.07,8.2,16.2,0,0.05,8.7,16.7,0.06,0.03,9.1,16.4,0.05,-0.02,8.4,15.4,-0.08,-0.06,6.9,13.3,-0.179,-0.136,6.6,12.6,-0.04,-0.05,7.2,13.2,0.09,0.05,9.4,16.2,0.306,0.22699999999999998,14.4,23.7,0.53,0.46,16.3,25.1,0.13,0.06
Georgia,1,3.5,NSD,NSD,1.4,4.4,0.4,0.26,2.1,6,0.5,0.36,2.5,6.5,0.19,0.08,2.7,6.9,0.08,0.06,2.9,7.5,0.07,0.09,3.3,8.2,0.14,0.09,3.6,8.9,0.09,0.09,4.1,9.7,0.14,0.09,4.2,9.7,0.02,0.0,5,10.3,0.19,0.06,5.4,10.7,0.08,0.04,5.4,10.7,0,0,5.4,10.6,0,-0.009,5.3,10.8,-0.02,0.02,7.0,11.9,0.32,0.1,8.4,12.7,0.2,0.067,8.8,13.3,0.05,0.05,9.7,14.7,0.1,0.11
Hawaii,2.4,6.5,NSD,NSD,2.3,5.1,-0.04,-0.22,3,6.2,0.3,0.22,3.7,6.1,0.23,-0.02,3.4,7.1,-0.08,0.16,4.4,8,0.29,0.13,5,9.4,0.14,0.18,4,6.4,-0.2,-0.32,5.7,10.0,0.43,0.56,3.9,9.0,-0.32,-0.1,4.1,9.6,0.05,0.07,5.3,10.9,0.29,0.14,5.4,12.4,0.02,0.14,4.5,11.0,-0.167,-0.113,4.7,11.0,0.04,0.0,3.9,10.9,-0.17,-0.01,4.1,11.3,0.051,0.037000000000000005,5.2,12.8,0.27,0.13,3.4,13.8,-0.35,0.08
Idaho,2.5,5.3,NSD,NSD,2.2,5.1,-0.12,-0.04,4.1,7.8,0.86,0.53,3.5,9.1,-0.15,0.17,4.2,7.9,0.2,-0.13,3.5,7.4,-0.17,-0.06,3.7,8.1,0.06,0.09,5,9.3,0.35,0.15,4.3,8.6,-0.14,-0.08,4.8,9.8,0.12,0.14,4.2,11.6,-0.13,0.18,5.3,11.8,0.26,0.02,5.1,12.9,-0.04,0.09,3.9,11.9,-0.235,-0.078,4.8,13.4,0.23,0.13,5.0,13.7,0.04,0.02,6.0,14.2,0.2,0.036000000000000004,7.4,15.2,0.23,0.07,6.2,14.4,-0.16,-0.05
Illinois,3.9,6.7,NSD,NSD,4.5,7,0.15,0.04,4.2,7.1,-0.07,0.01,4.6,7.9,0.1,0.11,3.7,6.8,-0.2,-0.14,4.2,8.3,0.14,0.22,4.7,8.4,0.12,0.01,6.9,10.9,0.47,0.3,5.5,9.4,-0.2,-0.14,6.7,10.6,0.22,0.13,6.9,10.8,0.03,0.02,6.8,10.0,-0.01,-0.07,7.1,10.9,0.04,0.09,8.9,12.5,0.254,0.147,8.3,12.1,-0.07,-0.03,9.4,13.1,0.13,0.08,10.7,14.1,0.138,0.076,15.3,18.9,0.43,0.34,17.2,21.6,0.12,0.14
Indiana,0.8,3.2,NSD,NSD,0.7,3.5,-0.13,0.09,1.1,4.7,0.57,0.34,1,4.8,-0.09,0.02,2.1,7.1,1.1,0.48,2.2,8.8,0.05,0.24,2.6,9.8,0.18,0.11,2.8,11.8,0.08,0.2,3.9,12.4,0.39,0.05,5.0,13.2,0.28,0.06,5,14.0,0,0.06,4.5,14.4,-0.1,0.03,5.6,15.3,0.24,0.06,5.9,16.0,0.054,0.046,5.7,16.6,-0.03,0.04,7.3,18.2,0.28,0.1,8.5,19.5,0.16399999999999998,0.071,12.6,24.0,0.48,0.23,18.8,29.4,0.49,0.23
Iowa,NR,1.9,NSD,NSD,NR,2.5,NSD,0.32,0.9,3,NSD,0.2,1.3,3.1,0.44,0.03,1.4,3.4,0.08,0.1,2.1,4.2,0.5,0.24,2.4,4.8,0.14,0.14,3.3,6.6,0.38,0.38,3.6,6.9,0.09,0.05,4.4,7.2,0.22,0.04,4.9,7.1,0.11,-0.01,5.1,8.6,0.04,0.21,5.9,8.4,0.16,-0.02,5.9,8.7,0,0.036,6.1,9.3,0.03,0.07,5.3,8.8,-0.13,-0.05,5.8,10.3,0.094,0.17,6.2,10.6,0.07,0.03,6.9,11.5,0.11,0.08
Kansas,1,3.4,NSD,NSD,0.9,4,-0.1,0.18,1.8,5.3,1,0.33,3,6.4,0.67,0.21,2.9,7.1,-0.03,0.11,4.4,8.5,0.52,0.2,4.1,9.1,-0.07,0.07,4.5,9.5,0.1,0.04,4.4,10.0,-0.02,0.05,3.5,8.0,-0.2,-0.2,5.5,11.1,0.57,0.39,3.8,9.6,-0.31,-0.14,4.3,10.1,0.13,0.05,6.3,11.5,0.465,0.139,5.7,12.0,-0.1,0.04,6.0,11.7,0.05,-0.03,5.4,11.8,-0.1,0.009000000000000001,5.1,11.1,-0.06,-0.06,5.1,11.8,0.0,0.06
Kentucky,1.3,4.9,NSD,NSD,2.3,5.9,0.77,0.2,3.5,8.4,0.52,0.42,4.4,10.5,0.26,0.25,5.7,13.6,0.3,0.3,5.4,12.8,-0.05,-0.06,6.8,15.3,0.26,0.2,8,17.4,0.18,0.14,8.1,16.7,0.01,-0.04,8.7,17.9,0.07,0.07,10.2,18.0,0.17,0.01,14.1,23.6,0.38,0.31,15.8,25,0.12,0.06,15.5,25.0,-0.019,0,15.5,23.7,0,-0.05,16.8,24.7,0.08,0.04,21.0,29.9,0.25,0.21100000000000002,23.6,33.5,0.12,0.12,27.9,37.2,0.18,0.11
Louisiana,0.7,4.3,NSD,NSD,1.2,5.6,0.71,0.3,1.8,6,0.5,0.07,2.1,8.3,0.17,0.38,2.7,12.1,0.29,0.46,3.2,12.1,0.19,0,3.8,14.7,0.19,0.21,4.6,16.5,0.21,0.12,4.9,18.8,0.07,0.14,2.9,14.9,-0.41,-0.21,2.8,13.1,-0.03,-0.12,2.8,13.2,0,0.01,2.5,13.5,-0.11,0.02,3.7,12.3,0.48,-0.089,5.9,17.8,0.59,0.45,5.7,16.9,-0.03,-0.05,6.3,19.0,0.105,0.124,7.7,21.8,0.22,0.15,9.3,24.5,0.21,0.12
